attack_id,target,duration_min,n_observations,max_buffer_attack_fraction,tau_max_over_pre,recall,recall_first_half,recall_second_half,second_minus_first_recall
0,MV101,15.666666666666666,94,0.0258333333333333,1.0181280970999875,0.2968085106382978,0.3382978723404255,0.2553191489361702,-0.08297872340425533
1,P102,7.5,45,0.0383333333333333,2.6044022235992736,0.9777777777777776,0.9545454545454548,1.0,0.04545454545454519
2,LIT101,6.333333333333333,38,0.0488888888888888,1.0,0.0,0.0,0.0,0.0
3,AIT202,3.333333333333333,20,0.0544444444444444,1.1646417756161769,1.0,1.0,1.0,0.0
4,LIT301,7.166666666666667,43,0.0663888888888888,1.0138073661712297,0.0627906976744186,0.119047619047619,0.009090909090909,-0.10995670995671
5,DPIT301,16.166666666666668,97,0.0933333333333333,1.4358480427771128,1.0,1.0,1.0,0.0
6,FIT401,12.0,72,0.1133333333333333,2.3247213484676497,1.0,1.0,1.0,0.0
7,MV304,4.166666666666667,25,0.0066666666666666,1.0001699518424143,0.024,0.0,0.0461538461538461,0.0461538461538461
8,LIT301,4.666666666666667,28,0.0144444444444444,0.999605215355712,0.0357142857142857,0.0,0.0714285714285714,0.0714285714285714
9,MV303,11.666666666666666,70,0.0338888888888888,1.2797974199276985,0.6142857142857142,0.2285714285714285,1.0,0.7714285714285715
10,AIT504,4.166666666666667,25,0.0408333333333333,1.0017762465806612,0.292,0.3916666666666667,0.2,-0.1916666666666667
11,AIT504,6.5,39,0.0516666666666666,5.789493629437192,1.0,1.0,1.0,0.0
12,LIT101,11.833333333333334,71,0.0713888888888888,1.0,0.0,0.0,0.0,0.0
13,"UV401,AIT502",7.833333333333333,47,0.0697222222222222,1.312874655488185,1.0,1.0,1.0,0.0
14,DPIT301,11.5,69,0.0694444444444444,1.040083798780927,0.9956521739130434,0.9911764705882352,1.0,0.008823529411764786
15,"P203,P205",5.333333333333333,32,0.0277777777777777,1.0075088778166426,0.203125,0.40625,0.0,-0.40625
16,LIT401,10.0,60,0.0444444444444444,1.0,0.0,0.0,0.0,0.0
17,"P101,LIT301",24.0,144,0.0652777777777777,1.206214399668667,0.9930555555555556,0.986111111111111,1.0,0.01388888888888895
18,LIT401,9.0,54,0.0547222222222222,1.05197171466298,0.9037037037037038,0.9074074074074074,0.9,-0.007407407407407418
19,P302,570.1666666666666,3421,0.965,4.212878754373594,0.9863197895352236,0.9726315789473684,1.0,0.027368421052631597
20,"P101,MV201,LIT101",19.33333333333333,116,0.5472222222222223,1.005147432887574,0.5353448275862069,0.4741379310344827,0.596551724137931,0.1224137931034483
21,LIT401,6.0,36,0.0419444444444444,1.0018604016072208,0.0,0.0,0.0,0.0
22,LIT301,10.0,60,0.0163888888888888,1.000770831044398,0.0166666666666666,0.0333333333333333,0.0,-0.0333333333333333
23,LIT101,7.166666666666667,43,0.0283333333333333,1.0003269524240213,0.0,0.0,0.0,0.0
24,P101,1.6666666666666667,10,0.0311111111111111,1.0007603115710886,0.47,0.4,0.54,0.14
25,P101,8.0,48,0.0444444444444444,1.0,0.0,0.0,0.0,0.0
26,LIT101,8.666666666666666,52,0.0422222222222222,1.0002575719487343,0.0,0.0,0.0,0.0
27,FIT502,6.166666666666667,37,0.01,1.0035344803933457,0.9,0.9,0.9,0.0
28,"AIT402,AIT502",4.666666666666667,28,0.0177777777777777,1.0,0.0,0.0,0.0,0.0
29,"FIT401,AIT502",6.666666666666667,40,0.0288888888888888,1.003735393151205,1.0,1.0,1.0,0.0
30,FIT401,5.0,30,0.0372222222222222,1.002636830935006,1.0,1.0,1.0,0.0
31,LIT301,27.666666666666668,166,0.0833333333333333,1.0026982747644078,0.0,0.0,0.0,0.0
